model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2
linear_regression,-154.49244871792294,306.44758455905946,0.1392709395567582,0.13163800280343657,0.05789416753385647,0.01661594473872002,0.11984074234863684,0.021939046371344327,0.014061826963243563,-25.255212629737382
random_forest,-0.12957142201993993,0.0966135707529027,0.05554597545614044,0.04488323598414569,0.030656085028065928,0.004284614019796226,0.7532114432714279,0.02287403538754375,0.004584029144713696,-27.54076600340903
gradient_boosting,-0.22245512435460363,0.29423816567276107,0.05543903997057696,0.043704150568911804,0.0036817950969497823,0.0019912391948922444,0.9964403207722793,0.06209081840196381,0.008679219009354047,-209.29784194508215
