artist_id,artist_name,account_id,num_followers,avg_likes,avg_comments,avg_views,likes_not_from_followers,male_amount,female_amount,ages_13_17,ages_18_24,ages_25_34,ages_35_44,ages_45_64,ages_65_,male_13_17,female_13_17,male_ages_18_24,female_ages_18_24,male_ages_25_34,female_ages_25_34,male_ages_35_44,female_ages_35_44,male_ages_45_64,female_ages_45_64,male_ages_65_,female_ages_65_,follower_white,follower_african_american,follower_asian,follower_hispanic,follower_lang_en,follower_lang_es,follower_lang_pt,follower_lang_de,follower_lang_ja,follower_lang_zh,follower_lang_id,follower_lang_ru,follower_lang_fr,follower_interest_name_1,follower_interest_amount_1,follower_interest_name_2,follower_interest_amount_2,follower_interest_name_3,follower_interest_amount_3,follower_interest_name_4,follower_interest_amount_4,follower_interest_name_5,follower_interest_amount_5,follower_country_code_1,follower_country_weight_1,follower_country_code_2,follower_country_weight_2,follower_country_code_3,follower_country_weight_3,follower_country_code_4,follower_country_weight_4,follower_country_code_5,follower_country_weight_5,last_updated,reachability_500,reachability_500_1000,reachability_1000_1500,reachability_1500_,notable_users_ratio,audience_credibility,credibility_class,created_at,engagement_rate,engagements
4194,Bad Bunny,197260775,49672470.0,3763373.0,52472.0,,,0.479644,0.520356,0.063399,0.445034,0.408204,0.071584,0.011778,0.0,0.024854,0.038545,0.21489,0.230144,0.197755,0.21045,0.037822,0.033762,0.004323,0.007456,0.0,0.0,0.244053,0.046286,0.050494,0.659167,0.178173,0.754225,0.011686,0.003416,0.001079,0.0,0.000899,0.004135,0.010068,"Friends, Family & Relationships",0.358076,"Clothes, Shoes, Handbags & Accessories",0.257126,Camera & Photography,0.228622,Music,0.223872,"Travel, Tourism & Aviation",0.221496,US,0.203776,AR,0.114042,MX,0.098526,CL,0.083786,CO,0.07939,2025-11-05 19:00:00,0.4639,0.2506,0.1085,0.177,0.1584,0.8216,low,2025-11-06,7.5764,
4195,Taylor Swift,11830955,281766140.0,4489299.0,0.0,,,0.402196,0.597804,0.070488,0.38038,0.404206,0.112029,0.032464,0.000432,0.02042,0.050069,0.132842,0.247538,0.167027,0.237179,0.062176,0.049853,0.019731,0.012733,0.0,0.000432,0.552017,0.093843,0.204246,0.149894,0.508377,0.107707,0.0809,0.013404,0.013882,0.037099,0.031594,0.028004,0.023456,"Friends, Family & Relationships",0.34202,"Restaurants, Food & Grocery",0.294463,"Clothes, Shoes, Handbags & Accessories",0.290554,"Toys, Children & Baby",0.265798,Camera & Photography,0.255375,US,0.194904,BR,0.080679,ID,0.064544,IN,0.054777,CN,0.045435,2025-11-05 19:00:00,0.6454,0.1578,0.0683,0.1285,0.0693,0.73,bad,2025-11-06,1.5933,
4195,Taylor Swift,34193605063,18074.0,0.0,0.0,,,0.619472,0.380528,0.059953,0.3734,0.465125,0.074579,0.026943,0.0,0.032168,0.027785,0.199444,0.173955,0.299626,0.165499,0.062499,0.01208,0.025735,0.001208,0.0,0.0,0.328781,0.410976,0.246586,0.013657,0.335085,0.005913,0.014455,0.003942,0.0,0.0,0.004599,0.0,0.016426,"Clothes, Shoes, Handbags & Accessories",0.410526,Music,0.384211,Camera & Photography,0.318421,"Travel, Tourism & Aviation",0.260526,Art & Design,0.221053,NG,0.352049,IQ,0.150228,IR,0.092564,US,0.050076,PH,0.040971,2025-05-10 20:00:00,0.478,0.1516,0.0882,0.2822,0.0416,0.1329,bad,2025-06-10,0.0,
4195,Taylor Swift,6654044742,67354.0,6724.0,83.0,,,0.173903,0.826097,0.092168,0.432075,0.356448,0.088163,0.031146,0.0,0.011156,0.081012,0.061194,0.370881,0.070217,0.286231,0.023132,0.065031,0.008203,0.022943,0.0,0.0,0.789621,0.025679,0.115554,0.069146,0.753254,0.058102,0.045652,0.016412,0.007546,0.0,0.001698,0.001886,0.030938,"Friends, Family & Relationships",0.420251,"Travel, Tourism & Aviation",0.331238,"Toys, Children & Baby",0.325281,Music,0.321972,"Clothes, Shoes, Handbags & Accessories",0.320649,AU,0.506915,US,0.079399,BR,0.046257,GB,0.034812,FR,0.024797,2025-07-06 20:00:00,0.328,0.2614,0.1383,0.2723,0.1783,0.8338,low,2025-08-06,9.9831,
4195,Taylor Swift,299323636,8970426.0,754851.0,2251.0,,0.890102,0.551343,0.448657,0.120067,0.550437,0.27844,0.038225,0.012435,0.000397,0.061498,0.058568,0.294635,0.255802,0.158567,0.119873,0.027642,0.010582,0.008785,0.003649,0.000214,0.000182,0.799915,0.104337,0.092744,0.003005,0.093786,0.004824,0.004052,0.002509,0.001158,0.000386,0.000579,0.002509,0.870127,Camera & Photography,0.271527,"Friends, Family & Relationships",0.27027,"Clothes, Shoes, Handbags & Accessories",0.255185,"Travel, Tourism & Aviation",0.252043,"Restaurants, Food & Grocery",0.229415,FR,0.738882,BE,0.042668,CA,0.037861,US,0.016827,ES,0.015024,2025-11-05 19:00:00,0.7042,0.167,0.0495,0.0793,0.036,0.8016,low,2025-11-06,8.4149,
4946,Ricardo Arjona,192992107,6512743.0,124672.0,3917.0,,0.779594,0.246489,0.753511,0.018263,0.215707,0.474071,0.227699,0.064098,0.000163,0.004227,0.014035,0.051379,0.164328,0.11983,0.354241,0.055769,0.17193,0.015121,0.048977,0.000163,0.0,0.084535,0.004104,0.016415,0.894947,0.041923,0.938982,0.007463,0.000439,0.000439,0.0,0.000878,0.001317,0.001317,"Friends, Family & Relationships",0.475958,"Toys, Children & Baby",0.263415,"Travel, Tourism & Aviation",0.24669,"Restaurants, Food & Grocery",0.217422,"Clothes, Shoes, Handbags & Accessories",0.187456,CO,0.130652,AR,0.115691,VE,0.11137,US,0.108378,MX,0.098072,2025-11-03 19:00:00,0.4097,0.2148,0.1147,0.2608,0.1179,0.8194,low,2025-11-05,1.9143,
4946,Ricardo Arjona,192992107,6512743.0,124672.0,3917.0,,0.779594,0.246489,0.753511,0.018263,0.215707,0.474071,0.227699,0.064098,0.000163,0.004227,0.014035,0.051379,0.164328,0.11983,0.354241,0.055769,0.17193,0.015121,0.048977,0.000163,0.0,0.084535,0.004104,0.016415,0.894947,0.041923,0.938982,0.007463,0.000439,0.000439,0.0,0.000878,0.001317,0.001317,"Friends, Family & Relationships",0.475958,"Toys, Children & Baby",0.263415,"Travel, Tourism & Aviation",0.24669,"Restaurants, Food & Grocery",0.217422,"Clothes, Shoes, Handbags & Accessories",0.187456,CO,0.130652,AR,0.115691,VE,0.11137,US,0.108378,MX,0.098072,2025-11-03 19:00:00,0.4097,0.2148,0.1147,0.2608,0.1179,0.8194,low,2025-11-06,1.9143,
4946,Ricardo Arjona,1802883526,487406.0,1269.0,16.0,,,0.30258,0.69742,0.01693,0.126811,0.419343,0.296075,0.140447,0.000394,0.002397,0.014534,0.022169,0.104642,0.117237,0.302105,0.103457,0.192619,0.057121,0.083326,0.0002,0.000194,0.723803,0.016013,0.121701,0.138483,0.430317,0.166991,0.040198,0.008677,0.013813,0.018417,0.0,0.032938,0.117939,"Clothes, Shoes, Handbags & Accessories",0.474095,"Home Decor, Furniture & Garden",0.465641,Art & Design,0.447431,"Travel, Tourism & Aviation",0.425537,Camera & Photography,0.390202,US,0.161399,FR,0.111221,IT,0.086922,ES,0.05966,MX,0.045832,2025-11-02 19:00:00,0.2872,0.2112,0.1363,0.3653,0.2134,0.7416,bad,2025-11-05,0.2604,
4946,Ricardo Arjona,1802883526,487406.0,1269.0,16.0,,,0.30258,0.69742,0.01693,0.126811,0.419343,0.296075,0.140447,0.000394,0.002397,0.014534,0.022169,0.104642,0.117237,0.302105,0.103457,0.192619,0.057121,0.083326,0.0002,0.000194,0.723803,0.016013,0.121701,0.138483,0.430317,0.166991,0.040198,0.008677,0.013813,0.018417,0.0,0.032938,0.117939,"Clothes, Shoes, Handbags & Accessories",0.474095,"Home Decor, Furniture & Garden",0.465641,Art & Design,0.447431,"Travel, Tourism & Aviation",0.425537,Camera & Photography,0.390202,US,0.161399,FR,0.111221,IT,0.086922,ES,0.05966,MX,0.045832,2025-11-02 19:00:00,0.2872,0.2112,0.1363,0.3653,0.2134,0.7416,bad,2025-11-06,0.2604,
4946,Ricardo Arjona,1536407142,12861.0,400.0,25.0,,0.7336,0.533021,0.466979,0.039491,0.260777,0.456414,0.187185,0.055194,0.000939,0.013836,0.025656,0.130852,0.129926,0.246226,0.210188,0.109512,0.077673,0.031892,0.023302,0.000704,0.000235,0.88153,0.048588,0.055529,0.014352,0.24986,0.015081,0.007075,0.004655,0.005399,0.005027,0.000559,0.003165,0.695029,Music,0.512026,Camera & Photography,0.418547,Art & Design,0.39995,"Clothes, Shoes, Handbags & Accessories",0.375899,"Travel, Tourism & Aviation",0.334986,FR,0.719291,US,0.039468,BE,0.032925,GB,0.022794,CH,0.016463,2025-07-10 20:00:00,0.389163,0.230743,0.130754,0.24934,0.218804,0.828034,low,2025-08-10,3.1102,
