model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2
random_forest,0.4413710848552804,0.2521644433219021,0.5018219781101939,0.11004095749555563,0.07381874357184458,0.03759723933886431,0.9916804939081729,0.29150017953403173,0.19775110666570925,0.8057916870771922
gradient_boosting,0.3738470795326008,0.32400457281341094,0.5183800928598743,0.12180751425766717,0.07947810279503059,0.05891170291261284,0.9903559549763619,0.3426832357980409,0.24012952936963256,0.7316040979523606
linear_regression,-32.04022015584538,34.93023260026406,2.819133977078553,1.7160164302201761,0.3746839271649292,0.2825324359409184,0.7856643693690902,0.6100807807205103,0.4809813488020286,0.14932268855345832
