model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2
gradient_boosting,-0.3407380790577668,0.39309204846078033,0.026552142611661268,0.011379503605319887,0.005984942737368847,0.003540713566668353,0.9320626980486189,0.012835821617971763,0.007992718214655565,-0.1178569419726816
random_forest,-0.4135553173639379,0.17089100580316477,0.026451465239411297,0.009094970904899045,0.008036291519750742,0.003144697205145519,0.877510274474189,0.013493402479254384,0.007780806796430183,-0.23532670910746845
linear_regression,-197.8670970398494,383.8863587110238,0.26459678840053724,0.4337754929585721,0.01840215872689755,0.010763833549642327,0.35771786686579,0.016741460489582877,0.011654447484307407,-0.9016280142393356
