feature,linear_regression,ridge_regression,random_forest,gradient_boosting
follower_white_lag4,40840.05721144349,0.0,0.011337789609727708,0.02904205467410602
follower_hispanic_lag4,38570.19586282241,0.0,0.0,0.0
follower_african_american_lag4,27297.198185888563,0.0,0.0,0.0
follower_asian_lag4,19773.637262980676,0.0,0.0,0.0
follower_white_lag2,11977.497233975671,0.0,0.010189045882983349,0.016508455477881386
follower_hispanic_lag2,11683.653399786588,0.0,0.0,0.0
follower_african_american_lag2,6654.359594906928,0.0847016228335447,0.012538112422882388,0.0
follower_asian_lag2,5466.978685597914,0.0,0.0,0.0
follower_white_lag1,4139.709019313904,0.0,0.0,0.0
follower_hispanic_lag1,4021.1174363586024,0.11183964553061175,0.0,0.0
follower_african_american_lag1,2278.728661666493,0.16640944874348892,0.012696381945930391,0.01340681869927669
follower_asian_lag1,2071.524729839022,0.08504957616665049,0.0,0.0
dma_count_streams_lag4,1.3323299645997515,0.16653099320603343,0.0,0.0
engagement_rate_roll8_std,0.8210825498226768,0.11613482091046803,0.024966283938590766,0.0
dma_count_streams_roll8_mean,0.9003345510568579,0.0,0.013622972658760165,0.032258532618258194
